Component,Reference,Value,Package,Quantity,Manufacturer,Part Number,Description,Status,Design Notes,Sourcing Notes
Decoupling Capacitors (main),C1-C5,10uF,0603,5,Generic,CAP-10UF-0603-16V,Bulk decoupling for power rails,Confirmed,Place close to every major IC power pin (U1 U2 U6). Especially critical near ESP32-C5 and CC1101 PA stage,Ceramic X5R/X7R type
Decoupling Capacitors (bypass),C6-C35,100nF,0402,30,Generic,CAP-100NF-0402-10V,High-frequency decoupling + RF bypass,Confirmed,Place at VCC pins of all ICs (within 5mm). Also across SPI/I2C pull-up voltage rails. Standard density: 1-2 per IC,Bulk order discount recommended
Decoupling Capacitors (storage),C36-C38,4.7uF,0603,3,Generic,CAP-4.7UF-0603-10V,Mid-frequency filtering,Confirmed,TPS63020 output filtering and USB power buffering. See TI datasheet for exact placement,X5R ceramic preferred
RF Matching Network (Left Ear - CC1101),L1-L2 C_match1,See notes,0402,8,Johanson / Murata,TBD - pending VNA sim,Impedance matching for CC1101 antenna network,Simulated,"PENDING ANTENNA SIM: 50Ω target impedance at 915MHz (North America ISM band). Typical pi-network: 2-15nH series inductors + 0.5-5pF shunt caps. Schedule VNA characterization before PCB release. Target -15dBm match loss",Order after simulation complete
RF Matching Network (Right Ear - ESP32),L3-L4 C_match2,See notes,0402,6,Johanson / Murata,TBD - pending VNA sim,Impedance matching for ESP32-C5 5GHz antenna,Simulated,"PENDING ANTENNA SIM: 50Ω target at 5GHz (2.4GHz backup). More complex network than CC1101. Recommend 2-3 stage matching + isolation inductor. Critical for WiFi 6 performance. Tune with VNA",Order after simulation complete
Resistors (pull-ups),R1-R10,10k,0402,10,Generic,RES-10K-0402-1/16W,SPI/I2C pull-ups button pull-ups,Confirmed,I2C SDA/SCL (2x) SPI chip select (varies) button matrix. Use 10k for 3.3V logic,Standard bulk stock
Resistors (current limit),R11-R20,100-1k,0402,10,Generic,RES-VALUE-0402-1/16W,LED current limit + bias resistors,Confirmed,IR LED current limit (~20Ω) buzzer drive resistors. Values depend on final layout,Calculate from target currents
Resistors (configuration),R21-R50,0R / 10k / 100k,0402,30,Generic,RES-VALUE-0402-1/16W,Board-level config/straps,Confirmed,TP4056 charge current programming (2x) PN532 mode select (1x) general purpose pull-ups.,Defer final values to schematic review
Inductors (buck-boost output),L5,2.2uH,0805,1,Generic,IND-2.2UH-0805-1.5A,TPS63020 output inductor,Confirmed,Required for stable 3.3V buck-boost regulation. ~1.5A max current. Place within 2mm of U6,Murata LQH31 recommended
Inductors (filtering),L6,4.7uH,0805,1,Generic,IND-4.7UH-0805-1A,Power rail filtering,Confirmed,Optional additional filtering after TPS63020. Can be omitted if TPS63020 alone meets ripple spec,Standard inductor - good stock
PCB,N/A,4-Layer FR4 1.6mm,Goblin head shape,1,JLCPCB or PCBWay,Custom,Main PCB substrate,Confirmed,"Goblin head + long pointy ears outline (Layer 1: Top signal + components Layer 2: Ground plane Layer 3: Power + signal Layer 4: Bottom signal). Specifications: ENIG finish 2oz copper Impedance-controlled traces for RF (ears) min 5mil clearance under antennas. DFM check required",Lead time ~5-7 days post-approval. Budget $150-250 for 5 units.
LiPo Battery,N/A,1500mAh 3.7V,Custom JST-PH,1,Generic,LIPO-1500mAh-3.7V-20C,Main power source,Confirmed,Protected circuit included (TP4056 compat). 20C discharge rating (~30A peak). Runtime: ~4-5 hours typical (WiFi active),Size constraint: fit behind U2 module. Check final board layout.
MicroSD Card,N/A,32GB Class 10 U3,Standard,1,SanDisk / Samsung,MICROSD-32GB,Data storage media,Confirmed,For captures animations firmware logs. U3 class guarantees minimum 30MB/s write speed,Purchase once board is finalized
Programming/Debug Header,J5,SWD + UART,Tag-Connect or Through-hole,1,Generic,SWD-10P-TC2030 or custom,STM32 + ESP32 programming interface,Confirmed,Through-hole pads minimum (Tag-Connect optional for final assembly). Includes SWCLK SWDIO UART TX/RX GND + 3.3V,Critical for development - do not omit
Antenna Keep-out / Clearance,N/A,N/A,Ears region,N/A,N/A,N/A,PCB design guideline,Confirmed,No copper components or ground planes under left/right ears. 5mm minimum clearance from PCB edge. Critical for antenna performance - leave clear,Document in PCB layout guidelines
Thermal Management,N/A,Thermal Vias,0.3mm 0.4mm,As needed,Generic,N/A,Thermal conductor vias,Confirmed,TPS63020 (U6): 8-12 thermal vias 3x3 grid under QFN. ESP32-C5 (U2): 10-15 vias under power pins. ILI9488 (DISP1): Consider via-in-pad,Reduces component junction temps by 20-30°C
Solder Paste / Flux,N/A,SAC305 0.15mm stencil,N/A,As needed,Generic,N/A,Reflow/hand solder consumables,Confirmed,For reflow or hand soldering. Especially for fine-pitch modules (ESP32-C5 PN532). Recommend professional reflow if available,JLCPCB assembly service ~$2-5 per board if outsourced
Standoffs / Mounting Hardware,N/A,M2 or M3 nylon,N/A,6,Generic,STANDOFF-M2-NYLON,PCB mounting supports,TBD,For enclosure mounting if case added later. Nylon non-conductive recommended to avoid accidental shorts,Defer to enclosure design phase
